3.000000 	 0 
3.040000 	 0 
3.080000 	 0 
3.120000 	 0 
3.160000 	 0 
3.200000 	 0 
3.240000 	 0 
3.280000 	 0 
3.320000 	 0 
3.360000 	 0 
3.400000 	 0 
3.440000 	 0 
3.480000 	 0 
3.520000 	 0 
3.560000 	 0 
3.600000 	 0 
3.640000 	 0 
3.680000 	 0 
3.720000 	 0 
3.760000 	 0 
3.800000 	 0 
3.840000 	 2 
3.880000 	 2 
3.920000 	 4 
3.960000 	 0 
4.000000 	 3 
4.040000 	 6 
4.080000 	 10 
4.120000 	 21 
4.160000 	 32 
4.200000 	 52 
4.240000 	 48 
4.280000 	 69 
4.320000 	 83 
4.360000 	 119 
4.400000 	 134 
4.440000 	 160 
4.480000 	 117 
4.520000 	 82 
4.560000 	 44 
4.600000 	 11 
4.640000 	 1 
4.680000 	 0 
4.720000 	 0 
4.760000 	 0 
4.800000 	 0 
4.840000 	 0 
4.880000 	 0 
4.920000 	 0 
4.960000 	 0 
5.000000 	 0 
5.040000 	 0 
5.080000 	 0 
5.120000 	 0 
5.160000 	 0 
5.200000 	 0 
5.240000 	 0 
5.280000 	 0 
5.320000 	 3 
5.360000 	 6 
5.400000 	 38 
5.440000 	 85 
5.480000 	 153 
5.520000 	 180 
5.560000 	 152 
5.600000 	 136 
5.640000 	 98 
5.680000 	 60 
5.720000 	 39 
5.760000 	 24 
5.800000 	 14 
5.840000 	 6 
5.880000 	 4 
5.920000 	 1 
5.960000 	 1 
6.000000 	 0 
6.040000 	 0 
6.080000 	 0 
6.120000 	 0 
6.160000 	 0 
6.200000 	 0 
6.240000 	 0 
6.280000 	 0 
6.320000 	 0 
6.360000 	 0 
6.400000 	 0 
6.440000 	 0 
6.480000 	 0 
6.520000 	 0 
6.560000 	 0 
6.600000 	 0 
6.640000 	 0 
6.680000 	 0 
6.720000 	 0 
6.760000 	 0 
6.800000 	 0 
6.840000 	 0 
6.880000 	 0 
6.920000 	 0 
6.960000 	 0 

