Instance(0): 	 4.049805 5.508789 0.885773 
Instance(1): 	 4.418945 5.561523 0.994217 
Instance(2): 	 4.594727 5.561523 0.996995 
Instance(3): 	 4.577148 5.456055 0.999641 
Instance(4): 	 4.700195 5.684570 0.975787 
Instance(5): 	 4.629883 5.719727 0.970209 
Instance(6): 	 4.348633 5.649414 0.984804 
Instance(7): 	 4.541992 5.596680 0.994719 
Instance(8): 	 4.331055 5.526367 0.986981 
Instance(9): 	 4.366211 5.649414 0.986073 
Instance(10): 	 4.541992 5.666992 0.986459 
Instance(11): 	 4.612305 5.614258 0.992554 
Instance(12): 	 4.418945 5.561523 0.994217 
Instance(13): 	 4.647461 5.579102 0.995609 
Instance(14): 	 4.295898 5.579102 0.981538 
Instance(15): 	 4.383789 5.649414 0.987104 
Instance(16): 	 4.612305 5.596680 0.994367 
Instance(17): 	 4.577148 5.631836 0.990921 
Instance(18): 	 4.401367 5.508789 0.994333 
Instance(19): 	 4.295898 5.614258 0.980855 
Instance(20): 	 4.366211 5.596680 0.989379 
Instance(21): 	 4.506836 5.543945 0.997387 
Instance(22): 	 4.612305 5.561523 0.996960 
Instance(23): 	 4.418945 5.543945 0.994762 
Instance(24): 	 4.436523 5.702148 0.981940 
Instance(25): 	 4.541992 5.631836 0.991329 
Instance(26): 	 4.418945 5.614258 0.991508 
Instance(27): 	 4.594727 5.649414 0.988089 
Instance(28): 	 4.348633 5.561523 0.988825 
Instance(29): 	 4.295898 5.543945 0.981543 
Instance(30): 	 4.348633 5.508789 0.989263 
Instance(31): 	 4.348633 5.631836 0.986033 
Instance(32): 	 4.700195 5.702148 0.970190 
Instance(33): 	 4.313477 5.684570 0.978731 
Instance(34): 	 4.612305 5.649414 0.987651 
Instance(35): 	 4.489258 5.543945 0.997114 
Instance(36): 	 4.436523 5.684570 0.984642 
Instance(37): 	 4.559570 5.561523 0.996993 
Instance(38): 	 4.541992 5.614258 0.993190 
Instance(39): 	 4.506836 5.631836 0.991496 
Instance(40): 	 4.471680 5.526367 0.997247 
Instance(41): 	 4.436523 5.631836 0.990696 
Instance(42): 	 4.559570 5.456055 0.999564 
Instance(43): 	 4.612305 5.526367 0.998497 
Instance(44): 	 4.541992 5.754883 0.966058 
Instance(45): 	 4.454102 5.596680 0.993807 
Instance(46): 	 4.401367 5.614258 0.990717 
Instance(47): 	 4.401367 5.508789 0.994333 
Instance(48): 	 4.278320 5.526367 0.977883 
Instance(49): 	 4.489258 5.596680 0.994448 
Instance(50): 	 4.629883 5.614258 0.992309 
Instance(51): 	 4.506836 5.508789 0.998356 
Instance(52): 	 4.436523 5.403320 0.996883 
